U1_OK_d_wl_ew6,2.759
E0_OK_d_wl_ew10,6.757
E1_OK_d_wl_ew31,9.542
U1_OK_d_wl_ew9,6.757
E0_OK_d_wl_sn19,2.75
U1_OK_d_wl_sn9,2.29
E1_OK_d_wl_ew7,6.757
U1_OK_d_wl_sn23,8.599
E0_OK_d_wl_sn22,8.599
E0_OK_d_wl_sn9,4.925
U1_OK_d_wl_sn21,2.75
E0_OK_d_wl_ew6,2.759
E0_OK_d_wl_sn8,2.29
U1_OK_d_wl_sn26,7.595
E1_OK_d_wl_ew4,2.759
E1_OK_d_wl_sn26,7.595
U1_OK_d_wl_sn10,4.925
E1_OK_d_wl_sn23,8.599
E1_OK_d_wl_sn8,2.29
E1_OK_d_wl_sn20,2.75
U1_OK_d_wl_ew35,9.542
E0_OK_d_wl_ew8,9.517
E1_OK_d_wl_sn9,4.925
E0_OK_d_wl_sn25,7.595
