,IBC1020_2,IBC1207_1,IBC1207_3
0,0zk4WfOuPFg8xQ3bt9abzg,0zk4WfOuPFg8xQ3bt9abzg,0zk4WfOuPFg8xQ3bt9abzg
1,2_414Bjl90PPXdZA2Pm_XA,2_414Bjl90PPXdZA2Pm_XA,2_414Bjl90PPXdZA2Pm_XA
2,0zk4WfOuPFg8xQ3bt9abwO,0zk4WfOuPFg8xQ3bt9abwO,0zk4WfOuPFg8xQ3bt9abwO
3,1W6Thknzf2qup40FGN1NDx,1W6Thknzf2qup40FGN1NEA,1W6Thknzf2qup40FGN1NEA
4,2_414Bjl90PPXdZA2Pm_XN,1W6Thknzf2qup40FGN1N3C,1W6Thknzf2qup40FGN1N3C
5,1W6Thknzf2qup40FGN1N3C,28pOo0cPL6KPXfzSWk0aFx,28pOo0cPL6KPXfzSWk0aFx
6,1W6Thknzf2qup40FGN1NEA,2_414Bjl90PPXdZA2Pm_ZI,2_414Bjl90PPXdZA2Pm_ZI
7,28pOo0cPL6KPXfzSWk0aFx,16sF2PP3fDW80DhY_ucSjU,16sF2PP3fDW80DhY_ucSjU
8,2_414Bjl90PPXdZA2Pm_ZI,2_414Bjl90PPXdZA2Pm_Wa,2_414Bjl90PPXdZA2Pm_Wa
9,16sF2PP3fDW80DhY_ucSjU,28pOo0cPL6KPXfzSWk0aFt,28pOo0cPL6KPXfzSWk0aFt
10,2_414Bjl90PPXdZA2Pm_Wa,1W6Thknzf2qup40FGN1NEH,1W6Thknzf2qup40FGN1NEH
11,28pOo0cPL6KPXfzSWk0aFt,0zk4WfOuPFg8xQ3bt9abzz,0zk4WfOuPFg8xQ3bt9abzz
12,1W6Thknzf2qup40FGN1NEH,1W6Thknzf2qup40FGN1N30,1W6Thknzf2qup40FGN1N30
13,0zk4WfOuPFg8xQ3bt9abzz,0zk4WfOuPFg8xQ3bt9ab_Y,0zk4WfOuPFg8xQ3bt9ab_Y
14,1W6Thknzf2qup40FGN1N30,16sF2PP3fDW80DhY_ucSuj,16sF2PP3fDW80DhY_ucSuj
15,0zk4WfOuPFg8xQ3bt9ab_Y,2_414Bjl90PPXdZA2Pm_X8,2_414Bjl90PPXdZA2Pm_X8
16,0zk4WfOuPFg8xQ3bt9abzV,2_414Bjl90PPXdZA2Pm_Wv,2_414Bjl90PPXdZA2Pm_Wv
17,16sF2PP3fDW80DhY_ucSuj,1W6Thknzf2qup40FGN1NEN,1W6Thknzf2qup40FGN1NEN
18,2_414Bjl90PPXdZA2Pm_X8,16sF2PP3fDW80DhY_ucSoT,16sF2PP3fDW80DhY_ucSoT
19,2_414Bjl90PPXdZA2Pm_Wv,1iin7g1k928O2DBRSrKlO6,1iin7g1k928O2DBRSrKlO6
20,1W6Thknzf2qup40FGN1NEN,2_414Bjl90PPXdZA2Pm_Zk,2_414Bjl90PPXdZA2Pm_Zk
21,16sF2PP3fDW80DhY_ucSoT,1iin7g1k928O2DBRSrKlQo,1iin7g1k928O2DBRSrKlQo
22,1iin7g1k928O2DBRSrKlO6,0zk4WfOuPFg8xQ3bt9ab_k,0zk4WfOuPFg8xQ3bt9ab_k
23,2_414Bjl90PPXdZA2Pm_Zk,1iin7g1k928O2DBRSrKl7s,1iin7g1k928O2DBRSrKl7s
24,1iin7g1k928O2DBRSrKlQo,28pOo0cPL6KPXfzSWk0aBt,28pOo0cPL6KPXfzSWk0aBt
25,0zk4WfOuPFg8xQ3bt9ab_k,0zk4WfOuPFg8xQ3bt9abzx,0zk4WfOuPFg8xQ3bt9abzx
26,1iin7g1k928O2DBRSrKl7s,1W6Thknzf2qup40FGN1NE4,1W6Thknzf2qup40FGN1NE4
27,28pOo0cPL6KPXfzSWk0aBt,,
28,0zk4WfOuPFg8xQ3bt9abzx,,
29,1W6Thknzf2qup40FGN1NE4,,
